n,k_prev,k_cur,spike_idx_prev,spike_idx_cur,L_prev,L_cur,Delta_obs,Delta_pred,resid,M_small,sum_small,mean_small,M_pred_kh,M_z,M_subcanonical,sum_subcanonical,log_b_a_at_cur_spike
2,1,2,0,10,0.000000,4.690240,4.690240,4.698970,-0.008730,9,4.175396,0.463933,9.73,-0.1957,0,0.000000,38.651688
2,2,3,10,32,4.690240,51.698101,47.007861,47.000000,+0.007861,21,6.179552,0.294264,14.41,+1.4462,0,0.000000,619.648208
2,3,4,32,118,51.698101,727.698883,676.000782,676.000000,+0.000782,84,36.308898,0.432249,84.64,-0.0580,1,12.980158,8267.647857
2,4,5,118,408,727.698883,9728.698961,9001.000078,9001.000000,+0.000078,287,115.150398,0.401221,268.43,+0.9433,2,592.074931,102765.647821
3,1,2,0,16,0.000000,6.041349,6.041349,6.045757,-0.004408,15,4.434824,0.295655,10.34,+1.2068,0,0.000000,29.949516
3,2,3,16,44,6.041349,48.045323,42.003973,42.000000,+0.003973,27,9.561447,0.354128,22.29,+0.8305,0,0.000000,545.953765
3,3,4,44,162,48.045323,650.045714,602.000392,602.000000,+0.000392,117,45.612501,0.389850,106.33,+0.8614,0,0.000000,7341.954195
3,4,5,162,488,650.045714,8652.045753,8002.000039,8002.000000,+0.000039,324,143.022465,0.441427,333.40,-0.4287,1,489.753189,91337.954238
4,1,4,0,148,0.000000,553.397897,553.397897,553.397940,-0.000043,144,67.098452,0.465961,156.42,-0.8263,3,474.565712,6186.249743
5,1,3,0,56,0.000000,42.999565,42.999565,43.000000,-0.000435,54,27.887248,0.516431,65.01,-1.1364,1,11.028269,377.043980
5,3,4,56,178,42.999565,478.999957,436.000391,436.000000,+0.000391,121,48.219045,0.398505,112.40,+0.6748,0,0.000000,5265.045579
5,4,5,178,616,478.999957,6242.999996,5764.000039,5764.000000,+0.000039,436,184.976676,0.424258,431.21,+0.1922,1,276.951944,65737.045740
6,1,3,0,72,0.000000,41.045323,41.045323,41.045757,-0.000435,69,26.471273,0.383642,61.71,+0.7726,2,8.137928,319.953760
6,3,4,72,188,41.045323,421.045714,380.000391,380.000000,+0.000391,115,50.288744,0.437293,117.23,-0.1714,0,0.000000,4559.954195
6,4,5,188,660,421.045714,5426.045753,5005.000039,5005.000000,+0.000039,469,200.616343,0.427753,467.66,+0.0514,2,203.698253,57049.954238
10,1,4,0,212,0.000000,296.698927,296.698927,296.698970,-0.000043,209,99.006205,0.473714,230.80,-1.1942,2,182.308676,2907.647422
10,4,5,212,844,296.698927,3545.698966,3249.000039,3249.000000,+0.000039,631,290.253506,0.459990,676.62,-1.4597,0,0.000000,36909.647778
